411,ATR-0412,,M,,"179,5",08/02/14,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.4542140096557,-55.4382007880365,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
412,ATR-0413,,M,,221,08/02/14,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.3566075596353,-56.1284145378319,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
419,ATR-0414,,M,,118,20/02/14,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-21.9497602292131,-53.3161079518503,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
425,ATR-0415,,,,131,21/02/14,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.7951707843327,-51.8946594167791,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
428,ATR-0416,,,,135,22/02/14,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.5001112464287,-55.9184527167747,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
431,ATR-0417,,,,"590,5",22/02/14,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.3577399265777,-56.127191429972,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
264,ATR-0418,,M,,394,21/09/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-21.6017569245764,-53.8360039244728,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
4,ATR-0419,,M,,163,02/04/13,Tamandua ,Tamandua tetradactyla,Tamanduá Mirim,-21.6596853296,-53.4406059969,,BR163/BR267-Nova Alvorada-Casa Verde,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
6,ATR-0420,,,,"35,5",04/04/13,Tamandua ,Tamandua tetradactyla,Tamanduá Mirim,-20.4608023581,-53.3777838262,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
14,ATR-0421,,,,"90,5",06/04/13,Tamandua ,Tamandua tetradactyla,Tamanduá Mirim,-20.5012819136,-55.896303152,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
26,ATR-0422,,M,,216,18/04/13,Tamandua ,Tamandua tetradactyla,Tamanduá Mirim,-20.4872709166,-52.7758553426,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
42,ATR-0423,,,,"49,5",20/04/13,Tamandua ,Tamandua tetradactyla,Tamanduá Mirim,-20.2881161876,-56.2923280978,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
46,ATR-0424,,,,35,20/04/13,Tamandua ,Tamandua tetradactyla,Tamanduá Mirim,-20.2690812918,-56.3324213138,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
49,ATR-0425,,,,209,30/04/13,Tamandua ,Tamandua tetradactyla,Tamanduá Mirim,-20.6511493131,-54.5645468198,,BR163/BR267-Nova Alvorada-Casa Verde,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
55,ATR-0426,,,,254,30/04/13,Tamandua ,Tamandua tetradactyla,Tamanduá Mirim,-21.6740736009,-53.412477733,,BR163/BR267-Nova Alvorada-Casa Verde,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
57,ATR-0427,,M,,"731,5",03/05/13,Tamandua ,Tamandua tetradactyla,Tamanduá Mirim,-20.5070680816,-54.2715386128,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
59,ATR-0428,,M,,793,03/05/13,Tamandua ,Tamandua tetradactyla,Tamanduá Mirim,-20.4780689997,-54.1238541495,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
68,ATR-0429,,M,,402,04/05/13,Tamandua ,Tamandua tetradactyla,Tamanduá Mirim,-20.5445466575,-55.4549316111,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
69,ATR-0430,,M,,"292,5",04/05/13,Tamandua ,Tamandua tetradactyla,Tamanduá Mirim,-20.4952260717,-55.9335030818,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
71,ATR-0431,,,,"722,5",04/05/13,Tamandua ,Tamandua tetradactyla,Tamanduá Mirim,-20.0890809317,-56.7477103903,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
