431,ATR-0417,-,-,-,590.5,2/22/2014,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
264,ATR-0418,-,M,-,394,9/21/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
4,ATR-0419,-,M,-,163,04/02/13,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR163/BR267-Nova Alvorada-Casa Verde,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
6,ATR-0420,-,-,-,35.5,04/04/13,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Tres Lagoas,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
14,ATR-0421,-,-,-,90.5,04/06/13,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
26,ATR-0422,-,M,-,216,4/18/2013,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Tres Lagoas,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
42,ATR-0423,-,-,-,49.5,4/20/2013,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
46,ATR-0424,-,-,-,35,4/20/2013,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
49,ATR-0425,-,-,-,209,4/30/2013,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR163/BR267-Nova Alvorada-Casa Verde,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
55,ATR-0426,-,-,-,254,4/30/2013,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR163/BR267-Nova Alvorada-Casa Verde,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
57,ATR-0427,-,M,-,731.5,05/03/13,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Tres Lagoas,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
59,ATR-0428,-,M,-,793,05/03/13,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Tres Lagoas,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
68,ATR-0429,-,M,-,402,05/04/13,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
69,ATR-0430,-,M,-,292.5,05/04/13,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
71,ATR-0431,-,-,-,722.5,05/04/13,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
74,ATR-0432,-,-,-,196,05/04/13,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
82,ATR-0433,-,-,-,765,5/14/2013,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR163/BR267-Nova Alvorada-Casa Verde,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
97,ATR-0434,-,M,-,111.5,5/16/2013,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Tres Lagoas,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
98,ATR-0435,-,M,-,180.5,5/18/2013,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
116,ATR-0436,-,M,-,109.5,5/28/2013,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR163/BR267-Nova Alvorada-Casa Verde,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
117,ATR-0437,-,-,-,995.5,5/28/2013,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR163/BR267-Nova Alvorada-Casa Verde,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
139,ATR-0438,-,-,-,735,6/13/2013,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Tres Lagoas,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
140,ATR-0439,-,-,-,240,6/13/2013,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Tres Lagoas,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
147,ATR-0440,-,M,-,359,6/15/2013,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
