objectid_1,objectid,leg_radam,leg_atual,leg_carga,clas_domi,leg_uveg,nm_uveg,leg_uantr,nm_uantr,leg_contat,nm_contat,veg_pretet,nm_pretet,legenda,shape_leng,shape_area
16320,161,Tas,Tas,Tas,Tas,Tas,Savana-Estpica Arborizada sem palmeiras e sem floresta-de-galeria,,,,,,,Tas - Savana-Estpica Arborizada sem palmeiras e sem floresta-de-galeria,1.69379,48
16321,1553,Cs1,SNc/Cs,SNc/Cs,Cs,Cs,Floresta Estacional Decidual Submontana,,,SN,Contato Savana/Floresta Estacional,,,SNc/Cs - Floresta Estacional Decidual Submontana  em Contato Savana/Floresta Estacional,0.25032,0.00092
16322,109,Fae,Pah,Pah,Pah,Pah,Formao Pioneira com influncia fluvial e/ou lacustre herbcea,,,,,,,Pah - Formao Pioneira com influncia fluvial e/ou lacustre herbcea,0.0403,6E-05
16323,109,Fae,Pah,Pah,Pah,Pah,Formao Pioneira com influncia fluvial e/ou lacustre herbcea,,,,,,,Pah - Formao Pioneira com influncia fluvial e/ou lacustre herbcea,0.04126,3E-05
16324,1405,Cs,Cs,Cs,Cs,Cs,Floresta Estacional Decidual Submontana,,,,,,,Cs - Floresta Estacional Decidual Submontana,0.21058,0.0013
16325,6452,Sd,Sd,Sd,Sd,Sd,Savana Florestada,,,,,,,Sd - Savana Florestada,1.59559,0.02994
16326,109,,Pah,Pah,Pah,Pah,Formao Pioneira com influncia fluvial e/ou lacustre herbcea,,,,,,,Pah - Formao Pioneira com influncia fluvial e/ou lacustre herbcea,0.02469,2E-05
16327,109,,Pah,Pah,Pah,Pah,Formao Pioneira com influncia fluvial e/ou lacustre herbcea,,,,,,,Pah - Formao Pioneira com influncia fluvial e/ou lacustre herbcea,0.03185,5E-05
16328,7741,Sas,Sas,Sas,Sas,Sas,Savana Arborizada sem floresta-de-galeria,,,,,,,Sas - Savana Arborizada sem floresta-de-galeria,0.09848,0.00045
16329,1405,Cs,Cs,Cs,Cs,Cs,Floresta Estacional Decidual Submontana,,,,,,,Cs - Floresta Estacional Decidual Submontana,0.13709,0.0004
16330,6286,Sas2,STc/Sas,STc/Sas,Sas,Sas,Savana Arborizada sem floresta-de-galeria,,,ST,Contato Savana/Savana-Estpica,,,STc/Sas - Savana Arborizada sem floresta-de-galeria  em Contato Savana/Savana-Estpica,0.93444,0.01215
16331,0,Fae,Fae,Fae,Fae,Fae,Floresta Estacional Semidecidual Aluvial com dossel emergente,,,,,,,Fae - Floresta Estacional Semidecidual Aluvial com dossel emergente,0.17737,0.00091
16332,106,Magua,Magua,Magua,Magua,,,,,,,,,Corpo dgua continental,0.02437,4E-05
16333,6642,Sgs2,STc/Sgs,STc/Sgs,Sgs,Sgs,Savana Gramneo-Lenhosa sem floresta-de-galeria,,,ST,Contato Savana/Savana-Estpica,,,STc/Sgs - Savana Gramneo-Lenhosa sem floresta-de-galeria  em Contato Savana/Savana-Estpica,0.71676,0.01644
16334,6452,Sd,Sd,Sd,Sd,Sd,Savana Florestada,,,,,,,Sd - Savana Florestada,0.16837,0.00068
16335,6452,Sd,Sd,Sd,Sd,Sd,Savana Florestada,,,,,,,Sd - Savana Florestada,0.67536,0.00458
16336,2619,Fa,Fa,Fa,Fa,Fa,Floresta Estacional Semidecidual Aluvial,,,,,,,Fa - Floresta Estacional Semidecidual Aluvial,1.38121,0.01118
16337,7741,Sas,Sas,Sas,Sas,Sas,Savana Arborizada sem floresta-de-galeria,,,,,,,Sas - Savana Arborizada sem floresta-de-galeria,0.25512,0.00152
